Date,Country,Confirmed,Deaths,Lat,Long,Recovered,max,max,max,median,median,median,min,min,min,Currency/USD
,,covid-19,covid-19,covid-19,covid-19,covid-19,aqi,pm10,pm25,aqi,pm10,pm25,aqi,pm10,pm25,forex
2019-08-29,Thailand,,,,,,,,,,,,,,,30.62
2019-08-30,Indonesia,,,,,,,,,,,,,,,14231.0
2019-08-30,Malaysia,,,,,,,,,,,,,,,4.2155
2019-08-30,Philippines,,,,,,,,,,,,,,,52.049
2019-08-30,Singapore,,,,,,,,,,,,,,,1.3877
2019-08-30,Thailand,,,,,,,,,,,,,,,30.632
2019-09-02,Indonesia,,,,,,,,,,,,,,,14178.0
2019-09-02,Malaysia,,,,,,,,,,,,,,,4.203
2019-09-02,Philippines,,,,,,,,,,,,,,,52.155
2019-09-02,Singapore,,,,,,,,,,,,,,,1.3889
2019-09-02,Thailand,,,,,,,,,,,,,,,30.616
2019-09-03,Indonesia,,,,,,,,,,,,,,,14265.0
2019-09-03,Malaysia,,,,,,,,,,,,,,,4.2191
2019-09-03,Philippines,,,,,,,,,,,,,,,52.266
2019-09-03,Singapore,,,,,,,,,,,,,,,1.3915
2019-09-03,Thailand,,,,,,,,,,,,,,,30.63
2019-09-04,Indonesia,,,,,,,,,,,,,,,14260.7002
2019-09-04,Malaysia,,,,,,,,,,,,,,,4.2067
2019-09-04,Philippines,,,,,,,,,,,,,,,52.25
2019-09-04,Singapore,,,,,,,,,,,,,,,1.3902
2019-09-04,Thailand,,,,,,,,,,,,,,,30.59
2019-09-05,Indonesia,,,,,,,,,,,,,,,14146.0
2019-09-05,Malaysia,,,,,,,,,,,,,,,4.1905
2019-09-05,Philippines,,,,,,,,,,,,,,,51.87
2019-09-05,Singapore,,,,,,,,,,,,,,,1.3837
2019-09-05,Thailand,,,,,,,,,,,,,,,30.527
2019-09-06,Indonesia,,,,,,,,,,,,,,,14172.2998
2019-09-06,Malaysia,,,,,,,,,,,,,,,4.1891
2019-09-06,Philippines,,,,,,,,,,,,,,,51.791
2019-09-06,Singapore,,,,,,,,,,,,,,,1.3845
2019-09-06,Thailand,,,,,,,,,,,,,,,30.68
2019-09-09,Indonesia,,,,,,,,,,,,,,,14088.0
2019-09-09,Malaysia,,,,,,,,,,,,,,,4.178
2019-09-09,Philippines,,,,,,,,,,,,,,,51.816
2019-09-09,Singapore,,,,,,,,,,,,,,,1.3814
2019-09-09,Thailand,,,,,,,,,,,,,,,30.651
2019-09-10,Indonesia,,,,,,,,,,,,,,,14024.0
2019-09-10,Malaysia,,,,,,,,,,,,,,,4.1628
2019-09-10,Philippines,,,,,,,,,,,,,,,51.85
2019-09-10,Singapore,,,,,,,,,,,,,,,1.3803
2019-09-10,Thailand,,,,,,,,,,,,,,,30.63
2019-09-11,Indonesia,,,,,,,,,,,,,,,14095.7998
2019-09-11,Malaysia,,,,,,,,,,,,,,,4.164
2019-09-11,Philippines,,,,,,,,,,,,,,,51.914
2019-09-11,Singapore,,,,,,,,,,,,,,,1.3799
2019-09-11,Thailand,,,,,,,,,,,,,,,30.616
2019-09-12,Indonesia,,,,,,,,,,,,,,,14106.4004
2019-09-12,Malaysia,,,,,,,,,,,,,,,4.176
2019-09-12,Philippines,,,,,,,,,,,,,,,52.08
2019-09-12,Singapore,,,,,,,,,,,,,,,1.3778
2019-09-12,Thailand,,,,,,,,,,,,,,,30.562
2019-09-13,Indonesia,,,,,,,,,,,,,,,13983.0
2019-09-13,Malaysia,,,,,,,,,,,,,,,4.1651
2019-09-13,Philippines,,,,,,,,,,,,,,,51.84
2019-09-13,Singapore,,,,,,,,,,,,,,,1.3755
2019-09-13,Thailand,,,,,,,,,,,,,,,30.48
2019-09-16,Indonesia,,,,,,,,,,,,,,,13958.0
2019-09-16,Malaysia,,,,,,,,,,,,,,,4.166
2019-09-16,Philippines,,,,,,,,,,,,,,,51.931
2019-09-16,Singapore,,,,,,,,,,,,,,,1.3738
2019-09-16,Thailand,,,,,,,,,,,,,,,30.473
2019-09-17,Indonesia,,,,,,,,,,,,,,,14170.2998
2019-09-17,Malaysia,,,,,,,,,,,,,,,4.1615
2019-09-17,Philippines,,,,,,,,,,,,,,,52.136
2019-09-17,Singapore,,,,,,,,,,,,,,,1.3755
2019-09-17,Thailand,,,,,,,,,,,,,,,30.523
2019-09-18,Indonesia,,,,,,,,,,,,,,,14126.7998
2019-09-18,Malaysia,,,,,,,,,,,,,,,4.185
2019-09-18,Philippines,,,,,,,,,,,,,,,52.128
2019-09-18,Singapore,,,,,,,,,,,,,,,1.3737
2019-09-18,Thailand,,,,,,,,,,,,,,,30.5
2019-09-19,Indonesia,,,,,,,,,,,,,,,14126.0
2019-09-19,Malaysia,,,,,,,,,,,,,,,4.1825
2019-09-19,Philippines,,,,,,,,,,,,,,,51.978
2019-09-19,Singapore,,,,,,,,,,,,,,,1.3763
2019-09-19,Thailand,,,,,,,,,,,,,,,30.54
2019-09-20,Indonesia,,,,,,,,,,,,,,,14158.0
2019-09-20,Malaysia,,,,,,,,,,,,,,,4.1873
2019-09-20,Philippines,,,,,,,,,,,,,,,52.22
2019-09-20,Singapore,,,,,,,,,,,,,,,1.3787
2019-09-20,Thailand,,,,,,,,,,,,,,,30.528
2019-09-23,Indonesia,,,,,,,,,,,,,,,14048.0
2019-09-23,Malaysia,,,,,,,,,,,,,,,4.1725
2019-09-23,Philippines,,,,,,,,,,,,,,,51.993
2019-09-23,Singapore,,,,,,,,,,,,,,,1.3766
2019-09-23,Thailand,,,,,,,,,,,,,,,30.48
2019-09-24,Indonesia,,,,,,,,,,,,,,,14078.0
2019-09-24,Malaysia,,,,,,,,,,,,,,,4.1751
2019-09-24,Philippines,,,,,,,,,,,,,,,52.126
2019-09-24,Singapore,,,,,,,,,,,,,,,1.3774
2019-09-24,Thailand,,,,,,,,,,,,,,,30.436
2019-09-25,Indonesia,,,,,,,,,,,,,,,14177.2998
2019-09-25,Malaysia,,,,,,,,,,,,,,,4.1731
2019-09-25,Philippines,,,,,,,,,,,,,,,52.25
2019-09-25,Singapore,,,,,,,,,,,,,,,1.3756
2019-09-25,Thailand,,,,,,,,,,,,,,,30.54
2019-09-26,Indonesia,,,,,,,,,,,,,,,14211.2998
2019-09-26,Malaysia,,,,,,,,,,,,,,,4.189
2019-09-26,Philippines,,,,,,,,,,,,,,,52.248
2019-09-26,Singapore,,,,,,,,,,,,,,,1.3783
2019-09-26,Thailand,,,,,,,,,,,,,,,30.58
2019-09-27,Indonesia,,,,,,,,,,,,,,,14236.7998
2019-09-27,Malaysia,,,,,,,,,,,,,,,4.185
2019-09-27,Philippines,,,,,,,,,,,,,,,51.978
2019-09-27,Singapore,,,,,,,,,,,,,,,1.3818
2019-09-27,Thailand,,,,,,,,,,,,,,,30.63
2019-09-30,Indonesia,,,,,,,,,,,,,,,14158.0
2019-09-30,Malaysia,,,,,,,,,,,,,,,4.1905
2019-09-30,Philippines,,,,,,,,,,,,,,,51.931
2019-09-30,Singapore,,,,,,,,,,,,,,,1.381
2019-09-30,Thailand,,,,,,,,,,,,,,,30.599
2019-10-01,Indonesia,,,,,,,,,,,,,,,14219.4004
2019-10-01,Malaysia,,,,,,,,,,,,,,,4.1846
2019-10-01,Philippines,,,,,,,,,,,,,,,51.835
2019-10-01,Singapore,,,,,,,,,,,,,,,1.3822
2019-10-01,Thailand,,,,,,,,,,,,,,,30.61
2019-10-02,Indonesia,,,,,,,,,,,,,,,14206.0
2019-10-02,Malaysia,,,,,,,,,,,,,,,4.19
2019-10-02,Philippines,,,,,,,,,,,,,,,52.0
2019-10-02,Singapore,,,,,,,,,,,,,,,1.385
2019-10-02,Thailand,,,,,,,,,,,,,,,30.61
2019-10-03,Indonesia,,,,,,,,,,,,,,,14188.0
2019-10-03,Malaysia,,,,,,,,,,,,,,,4.185
2019-10-03,Philippines,,,,,,,,,,,,,,,51.986
2019-10-03,Singapore,,,,,,,,,,,,,,,1.384
2019-10-03,Thailand,,,,,,,,,,,,,,,30.583
2019-10-04,Indonesia,,,,,,,,,,,,,,,14166.0
2019-10-04,Malaysia,,,,,,,,,,,,,,,4.1845
2019-10-04,Philippines,,,,,,,,,,,,,,,51.678
2019-10-04,Singapore,,,,,,,,,,,,,,,1.3803
2019-10-04,Thailand,,,,,,,,,,,,,,,30.52
2019-10-07,Indonesia,,,,,,,,,,,,,,,14128.0
2019-10-07,Malaysia,,,,,,,,,,,,,,,4.182
2019-10-07,Philippines,,,,,,,,,,,,,,,51.685
2019-10-07,Singapore,,,,,,,,,,,,,,,1.3794
2019-10-07,Thailand,,,,,,,,,,,,,,,30.42
2019-10-08,Indonesia,,,,,,,,,,,,,,,14239.5
2019-10-08,Malaysia,,,,,,,,,,,,,,,4.19
2019-10-08,Philippines,,,,,,,,,,,,,,,51.86
2019-10-08,Singapore,,,,,,,,,,,,,,,1.3809
2019-10-08,Thailand,,,,,,,,,,,,,,,30.47
2019-10-09,Indonesia,,,,,,,,,,,,,,,14210.0
2019-10-09,Malaysia,,,,,,,,,,,,,,,4.191
2019-10-09,Philippines,,,,,,,,,,,,,,,51.83
2019-10-09,Singapore,,,,,,,,,,,,,,,1.3825
2019-10-09,Thailand,,,,,,,,,,,,,,,30.389
2019-10-10,Indonesia,,,,,,,,,,,,,,,14217.5
2019-10-10,Malaysia,,,,,,,,,,,,,,,4.195
2019-10-10,Philippines,,,,,,,,,,,,,,,51.84
2019-10-10,Singapore,,,,,,,,,,,,,,,1.3816
2019-10-10,Thailand,,,,,,,,,,,,,,,30.311
2019-10-11,Indonesia,,,,,,,,,,,,,,,14145.0
2019-10-11,Malaysia,,,,,,,,,,,,,,,4.1865
2019-10-11,Philippines,,,,,,,,,,,,,,,51.59
2019-10-11,Singapore,,,,,,,,,,,,,,,1.375
2019-10-11,Thailand,,,,,,,,,,,,,,,30.41
2019-10-14,Indonesia,,,,,,,,,,,,,,,14121.0
2019-10-14,Malaysia,,,,,,,,,,,,,,,4.18
2019-10-14,Philippines,,,,,,,,,,,,,,,51.496
2019-10-14,Singapore,,,,,,,,,,,,,,,1.3718
2019-10-14,Thailand,,,,,,,,,,,,,,,30.38
2019-10-15,Indonesia,,,,,,,,,,,,,,,14168.5
2019-10-15,Malaysia,,,,,,,,,,,,,,,4.1855
2019-10-15,Philippines,,,,,,,,,,,,,,,51.528
2019-10-15,Singapore,,,,,,,,,,,,,,,1.369
2019-10-15,Thailand,,,,,,,,,,,,,,,30.39
2019-10-16,Indonesia,,,,,,,,,,,,,,,14216.0
2019-10-16,Malaysia,,,,,,,,,,,,,,,4.189
2019-10-16,Philippines,,,,,,,,,,,,,,,51.6
2019-10-16,Singapore,,,,,,,,,,,,,,,1.3711
2019-10-16,Thailand,,,,,,,,,,,,,,,30.429
2019-10-17,Indonesia,,,,,,,,,,,,,,,14224.0
2019-10-17,Malaysia,,,,,,,,,,,,,,,4.1881
2019-10-17,Philippines,,,,,,,,,,,,,,,51.53
2019-10-17,Singapore,,,,,,,,,,,,,,,1.3707
2019-10-17,Thailand,,,,,,,,,,,,,,,30.36
